Cruise Airfoil
1.000000 0.000000
0.999938 0.000019
0.999751 0.000075
0.999439 0.000168
0.999003 0.000297
0.998443 0.000463
0.997759 0.000663
0.996950 0.000897
0.996018 0.001164
0.994962 0.001463
0.993782 0.001791
0.992480 0.002149
0.991055 0.002533
0.989507 0.002943
0.987838 0.003377
0.986046 0.003834
0.984134 0.004312
0.982101 0.004810
0.979948 0.005327
0.977675 0.005863
0.975284 0.006415
0.972774 0.006985
0.970146 0.007570
0.967400 0.008172
0.964539 0.008791
0.961561 0.009426
0.958469 0.010079
0.955262 0.010750
0.951942 0.011440
0.948509 0.012152
0.944964 0.012886
0.941309 0.013644
0.937544 0.014429
0.933669 0.015242
0.929686 0.016086
0.925597 0.016963
0.921401 0.017875
0.917100 0.018826
0.912695 0.019818
0.908188 0.020852
0.903579 0.021932
0.898869 0.023060
0.894059 0.024238
0.889152 0.025467
0.884147 0.026749
0.879047 0.028087
0.873852 0.029480
0.868565 0.030930
0.863185 0.032437
0.857715 0.034001
0.852155 0.035623
0.846508 0.037300
0.840775 0.039033
0.834956 0.040820
0.829054 0.042659
0.823070 0.044548
0.817006 0.046483
0.810862 0.048463
0.804642 0.050483
0.798345 0.052541
0.791974 0.054631
0.785530 0.056750
0.779014 0.058893
0.772430 0.061055
0.765777 0.063232
0.759059 0.065418
0.752275 0.067608
0.745429 0.069798
0.738522 0.071980
0.731555 0.074152
0.724530 0.076306
0.717450 0.078438
0.710315 0.080544
0.703128 0.082618
0.695890 0.084655
0.688604 0.086652
0.681270 0.088603
0.673891 0.090506
0.666469 0.092357
0.659006 0.094151
0.651503 0.095887
0.643962 0.097562
0.636385 0.099172
0.628774 0.100717
0.621131 0.102195
0.613458 0.103604
0.605757 0.104944
0.598029 0.106212
0.590277 0.107411
0.582502 0.108538
0.574707 0.109594
0.566893 0.110581
0.559063 0.111497
0.551217 0.112345
0.543359 0.113124
0.535491 0.113837
0.527613 0.114484
0.519728 0.115068
0.511839 0.115588
0.503947 0.116048
0.496053 0.116448
0.488161 0.116790
0.480272 0.117076
0.472387 0.117307
0.464509 0.117485
0.456641 0.117612
0.448783 0.117688
0.440937 0.117715
0.433107 0.117695
0.425293 0.117629
0.417498 0.117517
0.409723 0.117361
0.401971 0.117162
0.394243 0.116921
0.386542 0.116638
0.378869 0.116314
0.371226 0.115949
0.363615 0.115545
0.356038 0.115102
0.348497 0.114619
0.340994 0.114098
0.333531 0.113538
0.326109 0.112940
0.318730 0.112304
0.311396 0.111629
0.304110 0.110917
0.296872 0.110168
0.289685 0.109381
0.282550 0.108556
0.275470 0.107694
0.268445 0.106796
0.261478 0.105860
0.254571 0.104887
0.247725 0.103879
0.240941 0.102834
0.234223 0.101753
0.227570 0.100637
0.220986 0.099486
0.214470 0.098300
0.208026 0.097081
0.201655 0.095828
0.195358 0.094542
0.189138 0.093225
0.182994 0.091876
0.176930 0.090496
0.170946 0.089087
0.165044 0.087648
0.159225 0.086182
0.153492 0.084689
0.147845 0.083170
0.142285 0.081626
0.136815 0.080059
0.131435 0.078468
0.126148 0.076857
0.120953 0.075225
0.115853 0.073574
0.110848 0.071906
0.105941 0.070222
0.101131 0.068522
0.096421 0.066809
0.091812 0.065084
0.087305 0.063349
0.082900 0.061604
0.078599 0.059851
0.074403 0.058091
0.070314 0.056327
0.066331 0.054559
0.062456 0.052789
0.058691 0.051018
0.055036 0.049248
0.051491 0.047480
0.048058 0.045714
0.044738 0.043953
0.041531 0.042198
0.038439 0.040448
0.035461 0.038707
0.032600 0.036974
0.029854 0.035250
0.027226 0.033536
0.024716 0.031833
0.022325 0.030141
0.020052 0.028461
0.017899 0.026792
0.015866 0.025136
0.013954 0.023492
0.012162 0.021860
0.010493 0.020239
0.008945 0.018631
0.007520 0.017034
0.006218 0.015447
0.005038 0.013871
0.003982 0.012305
0.003050 0.010746
0.002241 0.009196
0.001557 0.007653
0.000997 0.006115
0.000561 0.004582
0.000249 0.003053
0.000062 0.001526
0.000000 0.000000
0.000062 -0.000606
0.000249 -0.001197
0.000561 -0.001758
0.000997 -0.002275
0.001557 -0.002735
0.002241 -0.003124
0.003050 -0.003431
0.003982 -0.003645
0.005038 -0.003757
0.006218 -0.003758
0.007520 -0.003644
0.008945 -0.003408
0.010493 -0.003049
0.012162 -0.002566
0.013954 -0.001959
0.015866 -0.001230
0.017899 -0.000385
0.020052 0.000571
0.022325 0.001631
0.024716 0.002784
0.027226 0.004021
0.029854 0.005330
0.032600 0.006698
0.035461 0.008111
0.038439 0.009555
0.041531 0.011015
0.044738 0.012475
0.048058 0.013921
0.051491 0.015337
0.055036 0.016707
0.058691 0.018019
0.062456 0.019257
0.066331 0.020409
0.070314 0.021462
0.074403 0.022407
0.078599 0.023233
0.082900 0.023932
0.087305 0.024499
0.091812 0.024926
0.096421 0.025212
0.101131 0.025354
0.105941 0.025351
0.110848 0.025205
0.115853 0.024919
0.120953 0.024497
0.126148 0.023944
0.131435 0.023268
0.136815 0.022477
0.142285 0.021579
0.147845 0.020586
0.153492 0.019507
0.159225 0.018354
0.165044 0.017139
0.170946 0.015874
0.176930 0.014572
0.182994 0.013246
0.189138 0.011906
0.195358 0.010566
0.201655 0.009236
0.208026 0.007927
0.214470 0.006650
0.220986 0.005415
0.227570 0.004229
0.234223 0.003100
0.240941 0.002036
0.247725 0.001042
0.254571 0.000123
0.261478 -0.000717
0.268445 -0.001476
0.275470 -0.002152
0.282550 -0.002744
0.289685 -0.003252
0.296872 -0.003677
0.304110 -0.004020
0.311396 -0.004284
0.318730 -0.004471
0.326109 -0.004585
0.333531 -0.004629
0.340994 -0.004609
0.348497 -0.004527
0.356038 -0.004389
0.363615 -0.004199
0.371226 -0.003961
0.378869 -0.003681
0.386542 -0.003362
0.394243 -0.003008
0.401971 -0.002624
0.409723 -0.002213
0.417498 -0.001779
