x,y
1.000000,0.000000
0.999889,0.000012
0.999556,0.000048
0.999000,0.000107
0.998223,0.000190
0.997224,0.000295
0.996004,0.000423
0.994564,0.000574
0.992904,0.000745
0.991025,0.000937
0.988927,0.001149
0.986612,0.001380
0.984081,0.001629
0.981335,0.001895
0.978374,0.002177
0.975201,0.002475
0.971817,0.002788
0.968223,0.003114
0.964421,0.003453
0.960412,0.003804
0.956199,0.004167
0.951783,0.004540
0.947166,0.004924
0.942351,0.005318
0.937338,0.005721
0.932132,0.006134
0.926733,0.006557
0.921144,0.006990
0.915368,0.007433
0.909408,0.007886
0.903266,0.008351
0.896944,0.008828
0.890446,0.009319
0.883774,0.009823
0.876932,0.010343
0.869922,0.010880
0.862748,0.011436
0.855412,0.012012
0.847919,0.012609
0.840270,0.013231
0.832471,0.013878
0.824524,0.014552
0.816432,0.015256
0.808200,0.015992
0.799831,0.016761
0.791328,0.017565
0.782696,0.018407
0.773938,0.019287
0.765059,0.020208
0.756062,0.021171
0.746951,0.022176
0.737730,0.023226
0.728403,0.024321
0.718975,0.025462
0.709450,0.026648
0.699831,0.027880
0.690124,0.029157
0.680332,0.030480
0.670460,0.031845
0.660512,0.033254
0.650493,0.034702
0.640406,0.036189
0.630258,0.037712
0.620051,0.039268
0.609792,0.040854
0.599483,0.042466
0.589130,0.044100
0.578738,0.045752
0.568310,0.047417
0.557853,0.049091
0.547369,0.050768
0.536864,0.052443
0.526343,0.054111
0.515811,0.055765
0.505271,0.057400
0.494729,0.059010
0.484189,0.060588
0.473657,0.062130
0.463136,0.063628
0.452631,0.065078
0.442147,0.066474
0.431690,0.067809
0.421262,0.069079
0.410870,0.070279
0.400517,0.071403
0.390208,0.072449
0.379949,0.073411
0.369742,0.074287
0.359594,0.075072
0.349507,0.075764
0.339488,0.076362
0.329540,0.076863
0.319668,0.077266
0.309876,0.077571
0.300169,0.077776
0.290550,0.077883
0.281025,0.077892
0.271597,0.077803
0.262270,0.077619
0.253049,0.077342
0.243938,0.076973
0.234941,0.076515
0.226062,0.075971
0.217304,0.075343
0.208672,0.074636
0.200169,0.073853
0.191800,0.072997
0.183568,0.072071
0.175476,0.071079
0.167529,0.070025
0.159730,0.068912
